DBN,School Name,Borough, District,School Type,Split Sited,Co-located at Any Site,Total Enrollment,Grades 3K-5 Enrollment,Grades 6-8 Enrollment,Grades 9-12 Enrollment,% Asian,% Black,% Hispanic,% Multiracial,% Native American,% White,% Missing Race/Ethnicity Data,% SWD,% ELL,% Poverty,2024-25 ELA # Tested,2024-25 ELA # Proficient (L3&4),2024-25 ELA % Proficient (L3&4),2024-25 Math # Tested,2024-25 Math # Proficient (L3&4),2024-25 Math % Proficient (L3&4),2023-24 Total 4-year August Grad Cohort,2023-24 % 4-year August Graduates,2023-24 Total 6-year Grad Cohort,2023-24 % 6-year Graduates
27Q253,The Randolph Holder School for Social Justice,Q,27,Elementary,,Y,550,550,0,0,2.5%,30.2%,63.8%,0.9%,1.6%,0.9%,0.0%,28.9%,21.8%,Above 95%,240,87,36.3%,238,76,31.9%,,,,
27Q254,P.S. 254 - The Rosa Parks School,Q,27,Elementary,,Y,526,526,0,0,13.5%,2.9%,77.2%,1.0%,1.0%,4.6%,0.0%,18.6%,25.7%,82.9%,205,103,50.2%,208,155,74.5%,,,,
27Q260,Frederick Douglass Academy VI High School,Q,27,High school,,Y,319,0,0,319,1.6%,45.5%,46.7%,0.9%,0.6%,2.5%,2.2%,26.3%,25.1%,85.6%,,,0.0%,,,,54,74.1%,82,65.9%
27Q261,Voyages Prep - South Queens,Q,27,Transfer High school,,Y,248,0,0,248,16.5%,44.0%,32.3%,0.0%,4.0%,3.2%,0.0%,15.3%,17.7%,81.5%,,,0.0%,,,,130,44.6%,137,73.7%
27Q262,Channel View School for Research,Q,27,Secondary School,,Y,1178,0,333,845,5.4%,41.4%,43.1%,1.5%,1.7%,6.6%,0.2%,15.1%,5.9%,79.6%,317,163,51.4%,188,82,43.6%,188,97.9%,141,99.3%
27Q282,Knowledge and Power Preparatory Academy VI,Q,27,Junior High-Intermediate-Middle,,Y,282,0,282,0,1.8%,35.1%,60.6%,0.4%,0.7%,1.4%,0.0%,17.7%,8.5%,90.4%,264,178,67.4%,237,124,52.3%,,,,
27Q297,Hawtree Creek Middle School,Q,27,Junior High-Intermediate-Middle,,Y,390,0,390,0,23.8%,24.6%,23.1%,1.5%,25.1%,1.8%,0.0%,18.5%,5.1%,76.9%,321,197,61.4%,281,183,65.1%,,,,
27Q302,"Queens High School for Information, Research, and Technology",Q,27,High school,,Y,507,0,0,507,2.6%,34.5%,60.0%,0.2%,1.0%,1.8%,0.0%,20.5%,10.7%,84.4%,,,0.0%,,,,123,85.4%,103,98.1%
27Q308,Robert H. Goddard High School of Communication Arts and Technology,Q,27,High school,,Y,610,0,0,610,22.6%,9.5%,52.0%,2.3%,3.9%,9.0%,0.7%,17.4%,4.4%,81.3%,,,0.0%,,,,138,98.6%,145,95.2%
27Q309,Academy of Medical Technology: A College Board School,Q,27,Secondary School,,Y,611,0,178,433,2.9%,35.2%,54.5%,0.8%,2.1%,3.3%,1.1%,20.5%,17.0%,85.1%,175,39,22.3%,158,29,18.4%,101,87.1%,101,92.1%
27Q314,Epic High School - South,Q,27,High school,,Y,436,0,0,436,31.4%,26.6%,32.1%,0.7%,7.3%,1.6%,0.2%,19.0%,8.7%,91.7%,,,0.0%,,,,89,82.0%,122,93.4%
27Q318,Waterside School For Leadership,Q,27,Junior High-Intermediate-Middle,,Y,150,0,150,0,2.0%,50.0%,40.0%,2.0%,1.3%,4.7%,0.0%,31.3%,8.7%,83.3%,142,71,50.0%,143,60,42.0%,,,,
27Q319,Village Academy ,Q,27,Junior High-Intermediate-Middle,,Y,312,0,312,0,1.9%,51.3%,43.9%,1.3%,0.6%,1.0%,0.0%,34.6%,14.4%,92.6%,308,142,46.1%,279,165,59.1%,,,,
27Q324,Rockaway Park High School for Environmental Sustainability,Q,27,High school,,Y,233,0,0,233,2.6%,47.2%,44.6%,0.4%,0.9%,4.3%,0.0%,32.2%,28.3%,91.0%,,,0.0%,,,,60,65.0%,80,85.0%
27Q333,Goldie Maple Academy,Q,27,K-8,,Y,308,230,78,0,1.9%,69.8%,24.0%,1.6%,1.0%,1.6%,0.0%,27.3%,3.9%,94.2%,179,51,28.5%,174,37,21.3%,,,,
27Q351,Rockaway Collegiate High School,Q,27,High school,,Y,282,0,0,282,3.2%,51.4%,39.0%,0.7%,1.8%,3.2%,0.7%,35.1%,16.0%,84.8%,,,0.0%,,,,63,65.1%,94,78.7%
27Q377,S.T.A.R. Leadership Academy,Q,27,Elementary,,Y,506,506,0,0,26.7%,5.3%,54.0%,2.4%,2.6%,9.1%,0.0%,17.8%,12.8%,72.3%,180,103,57.2%,177,117,66.1%,,,,
27Q400,August Martin High School,Q,27,High school,,Y,646,0,0,646,13.2%,50.8%,28.5%,0.6%,4.8%,1.7%,0.5%,20.4%,11.9%,77.7%,,,0.0%,,,,123,87.0%,99,98.0%
27Q475,Richmond Hill High School,Q,27,High school,,Y,1843,0,0,1843,27.6%,9.2%,54.6%,0.7%,4.2%,2.7%,1.0%,17.1%,22.8%,87.1%,,,0.0%,,,,387,80.9%,468,79.7%
27Q480,John Adams High School,Q,27,High school,,Y,2428,0,0,2428,27.9%,24.6%,41.5%,0.7%,2.1%,3.2%,0.0%,16.0%,16.3%,82.6%,,,0.0%,,,,595,86.6%,625,87.7%
27Q650,"High School for Construction Trades, Engineering and Architecture",Q,27,High school,,Y,1076,0,0,1076,36.0%,8.5%,40.3%,1.3%,5.6%,7.8%,0.6%,14.8%,1.2%,75.3%,,,0.0%,,,,273,98.5%,275,99.3%
28Q008,J.H.S. 008 Richard S. Grossley,Q,28,Junior High-Intermediate-Middle,,Y,351,0,351,0,25.4%,33.9%,28.5%,1.1%,10.0%,1.1%,0.0%,17.4%,22.2%,84.3%,321,155,48.3%,304,144,47.4%,,,,
28Q040,P.S. 040 Samuel Huntington,Q,28,Elementary,,Y,396,396,0,0,20.5%,34.8%,41.2%,0.8%,1.8%,1.0%,0.0%,21.2%,23.5%,Above 95%,115,88,76.5%,120,97,80.8%,,,,
28Q048,David N. Dinkins School,Q,28,Elementary,,Y,456,456,0,0,34.2%,33.8%,26.3%,0.9%,3.1%,1.8%,0.0%,23.2%,17.5%,89.7%,164,97,59.1%,169,112,66.3%,,,,
28Q072,Catherine & Count Basie Middle School 72,Q,28,Junior High-Intermediate-Middle,,Y,330,0,330,0,7.0%,64.5%,21.8%,1.2%,4.5%,0.9%,0.0%,22.1%,14.8%,86.1%,301,114,37.9%,323,99,30.7%,,,,
28Q140,P.S. 140 Edward K Ellington,Q,28,Elementary,,Y,271,271,0,0,15.5%,52.0%,27.7%,0.0%,4.1%,0.7%,0.0%,15.9%,17.0%,89.7%,114,82,71.9%,115,74,64.3%,,,,
28Q167,Metropolitan Expeditionary Learning School,Q,28,Secondary School,,Y,837,0,363,474,21.6%,8.2%,49.8%,3.5%,5.9%,10.5%,0.5%,19.5%,5.3%,67.6%,316,168,53.2%,213,91,42.7%,100,98.0%,110,98.2%
28Q182,P.S. 182 Samantha Smith,Q,28,Elementary,,Y,800,800,0,0,21.1%,12.4%,60.8%,1.6%,3.0%,1.1%,0.0%,16.8%,48.4%,94.2%,336,135,40.2%,362,116,32.0%,,,,
28Q284,York Early College Academy,Q,28,Secondary School,,Y,601,0,274,327,29.0%,46.8%,11.1%,1.0%,11.0%,1.0%,0.2%,15.5%,1.8%,74.4%,257,145,56.4%,173,79,45.7%,86,98.8%,96,100.0%
28Q287,The Emerson School,Q,28,Junior High-Intermediate-Middle,,Y,281,0,281,0,13.9%,35.6%,40.6%,0.4%,7.5%,2.1%,0.0%,20.6%,27.0%,88.6%,244,80,32.8%,239,51,21.3%,,,,
28Q310,Queens Collegiate: A College Board School,Q,28,Secondary School,,Y,710,0,255,455,24.5%,28.0%,34.9%,1.3%,6.1%,2.7%,2.5%,13.4%,18.5%,82.5%,224,131,58.5%,224,121,54.0%,100,88.0%,86,88.4%
28Q312,Jamaica Children's School,Q,28,Elementary,,Y,264,264,0,0,11.4%,44.3%,38.3%,1.9%,3.0%,1.1%,0.0%,22.0%,33.7%,86.4%,93,51,54.8%,101,54,53.5%,,,,
28Q325,Hillside Arts & Letters Academy,Q,28,High school,,Y,405,0,0,405,24.2%,30.6%,38.0%,0.5%,4.0%,1.7%,1.0%,12.6%,23.7%,74.6%,,,0.0%,,,,97,95.9%,110,95.5%
28Q328,High School for Community Leadership,Q,28,High school,,Y,492,0,0,492,28.9%,26.2%,36.4%,0.6%,4.3%,2.8%,0.8%,15.0%,16.1%,75.2%,,,0.0%,,,,115,99.1%,118,94.9%
28Q332,Redwood Middle School,Q,28,Junior High-Intermediate-Middle,,Y,276,0,276,0,9.4%,54.0%,27.2%,1.8%,5.1%,1.4%,1.1%,17.8%,16.3%,84.1%,221,98,44.3%,150,68,45.3%,,,,
28Q338,Queens Satellite High School for Opportunity,Q,28,Transfer High school,,Y,195,0,0,195,22.1%,26.2%,45.6%,0.0%,3.6%,2.6%,0.0%,4.1%,59.0%,75.9%,,,0.0%,,,,57,36.8%,45,55.6%
28Q349,The Queens School for Leadership and Excellence,Q,28,Elementary,,Y,593,593,0,0,41.7%,10.8%,42.3%,0.3%,3.2%,1.7%,0.0%,14.5%,23.6%,89.5%,267,162,60.7%,272,164,60.3%,,,,
28Q350,Jamaica Gateway to the Sciences,Q,28,High school,,Y,525,0,0,525,43.8%,23.2%,23.0%,1.7%,5.5%,1.5%,1.1%,11.4%,16.4%,82.5%,,,0.0%,,,,126,92.1%,120,98.3%
28Q358,M.S. 358,Q,28,Junior High-Intermediate-Middle,,Y,345,0,345,0,30.4%,16.5%,48.7%,0.3%,2.3%,1.7%,0.0%,18.6%,19.4%,91.3%,308,186,60.4%,195,114,58.5%,,,,
28Q680,Queens Gateway to Health Sciences Secondary School,Q,28,Secondary School,,Y,679,0,270,409,57.0%,18.7%,14.6%,1.5%,6.2%,2.1%,0.0%,15.0%,2.2%,68.5%,266,238,89.5%,182,159,87.4%,90,97.8%,102,99.0%
28Q686,Queens Metropolitan High School,Q,28,High school,,Y,1068,0,0,1068,10.6%,3.6%,48.8%,1.5%,0.8%,34.7%,0.0%,16.1%,8.1%,66.1%,,,0.0%,,,,217,93.5%,272,90.8%
28Q690,High School for Law Enforcement and Public Safety,Q,28,High school,,Y,552,0,0,552,15.0%,47.6%,31.5%,1.1%,3.1%,1.3%,0.4%,23.0%,19.2%,80.4%,,,0.0%,,,,108,84.3%,92,90.2%
29Q035,P.S. 035 Nathaniel Woodhull,Q,29,Elementary,,Y,642,642,0,0,36.8%,27.9%,25.7%,1.6%,6.5%,1.6%,0.0%,18.2%,20.6%,81.9%,241,137,56.8%,252,170,67.5%,,,,
