DBN,School Name,Borough, District,School Type,Split Sited,Co-located at Any Site,Total Enrollment,Grades 3K-5 Enrollment,Grades 6-8 Enrollment,Grades 9-12 Enrollment,% Asian,% Black,% Hispanic,% Multiracial,% Native American,% White,% Missing Race/Ethnicity Data,% SWD,% ELL,% Poverty,2024-25 ELA # Tested,2024-25 ELA # Proficient (L3&4),2024-25 ELA % Proficient (L3&4),2024-25 Math # Tested,2024-25 Math # Proficient (L3&4),2024-25 Math % Proficient (L3&4),2023-24 Total 4-year August Grad Cohort,2023-24 % 4-year August Graduates,2023-24 Total 6-year Grad Cohort,2023-24 % 6-year Graduates
09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,X,09,K-8,,Y,801,496,305,0,1.2%,4.7%,91.4%,0.4%,1.1%,1.1%,0.0%,20.6%,25.6%,Above 95%,556,212,38.1%,561,218,38.9%,,,,
09X219,I.S. 219 New Venture School,X,09,Junior High-Intermediate-Middle,,Y,251,0,251,0,0.4%,32.7%,64.5%,0.4%,2.0%,0.0%,0.0%,30.7%,22.7%,Above 95%,243,79,32.5%,247,84,34.0%,,,,
09X227,Bronx Collegiate Academy,X,09,High school,,Y,432,0,0,432,1.9%,29.2%,64.8%,0.7%,1.4%,1.9%,0.2%,20.8%,13.7%,89.8%,,,0.0%,,,,95,92.6%,89,88.8%
09X229,I.S. 229 Roland Patterson,X,09,Junior High-Intermediate-Middle,,Y,178,0,178,0,1.1%,36.5%,60.1%,0.6%,1.7%,0.0%,0.0%,37.1%,9.6%,92.7%,158,46,29.1%,158,38,24.1%,,,,
09X232,I.S. 232,X,09,Junior High-Intermediate-Middle,,Y,252,0,252,0,0.0%,21.4%,78.2%,0.0%,0.0%,0.4%,0.0%,27.4%,34.9%,Above 95%,233,86,36.9%,249,104,41.8%,,,,
09X241,"Urban Assembly School for Applied Math and Science, The",X,09,Secondary School,,Y,523,0,220,303,0.0%,28.1%,71.1%,0.4%,0.2%,0.2%,0.0%,29.3%,11.1%,Above 95%,215,58,27.0%,156,41,26.3%,85,83.5%,76,96.1%
09X250,Eximius College Preparatory Academy: A College Board School,X,09,High school,,Y,376,0,0,376,0.5%,29.0%,67.8%,0.0%,0.8%,1.9%,0.0%,24.2%,12.5%,90.2%,,,0.0%,,,,75,89.3%,87,93.1%
09X252,Mott Hall Bronx High School,X,09,High school,,Y,314,0,0,314,0.3%,29.3%,68.5%,0.0%,1.0%,0.6%,0.3%,24.8%,6.4%,Above 95%,,,0.0%,,,,97,84.5%,75,90.7%
09X260,Bronx Center for Science and Mathematics,X,09,High school,,Y,383,0,0,383,5.7%,30.3%,61.6%,0.0%,0.8%,1.0%,0.5%,26.1%,5.2%,89.6%,,,0.0%,,,,95,95.8%,95,92.6%
09X263,Validus Preparatory Academy,X,09,High school,,Y,283,0,0,283,0.0%,37.8%,60.8%,0.0%,0.7%,0.4%,0.4%,32.2%,12.7%,Above 95%,,,0.0%,,,,49,67.3%,92,82.6%
09X274,The New American Academy at Roberto Clemente State Park,X,09,Elementary,,Y,348,348,0,0,0.3%,35.6%,58.9%,0.9%,1.1%,3.2%,0.0%,31.6%,10.1%,Above 95%,179,44,24.6%,181,26,14.4%,,,,
09X294,The Walton Avenue School,X,09,Elementary,,Y,308,308,0,0,1.3%,16.9%,78.2%,0.3%,1.0%,2.3%,0.0%,31.8%,18.2%,Above 95%,179,71,39.7%,187,93,49.7%,,,,
09X297,Morris Academy for Collaborative Studies,X,09,High school,,Y,444,0,0,444,0.2%,27.3%,70.7%,0.5%,0.2%,1.1%,0.0%,33.3%,14.2%,Above 95%,,,0.0%,,,,107,84.1%,97,88.7%
09X303,I.S. X303 Leadership & Community Service,X,09,Junior High-Intermediate-Middle,,Y,295,0,295,0,0.7%,20.3%,78.3%,0.3%,0.3%,0.0%,0.0%,29.2%,18.6%,Above 95%,277,114,41.2%,169,59,34.9%,,,,
09X311,Lucero Elementary School,X,09,Elementary,,Y,294,294,0,0,0.7%,9.5%,88.8%,0.3%,0.3%,0.3%,0.0%,24.8%,53.7%,Above 95%,143,33,23.1%,154,30,19.5%,,,,
09X313,I.S. 313 School of Leadership Development,X,09,Junior High-Intermediate-Middle,,Y,104,0,104,0,0.0%,33.7%,61.5%,1.0%,1.9%,1.9%,0.0%,29.8%,32.7%,Above 95%,103,17,16.5%,109,17,15.6%,,,,
09X323,Bronx Writing Academy,X,09,Junior High-Intermediate-Middle,,Y,188,0,188,0,0.0%,23.4%,72.9%,0.5%,0.5%,2.7%,0.0%,29.8%,27.1%,Above 95%,178,83,46.6%,189,55,29.1%,,,,
09X324,Bronx Early College Academy for Teaching & Learning,X,09,Secondary School,,Y,370,0,103,267,1.4%,18.9%,77.0%,0.5%,1.6%,0.3%,0.3%,32.4%,12.4%,93.2%,79,32,40.5%,56,17,30.4%,78,93.6%,71,98.6%
09X327,Comprehensive Model School Project M.S. 327,X,09,Secondary School,,Y,672,0,293,379,0.6%,17.7%,80.2%,0.3%,0.1%,1.0%,0.0%,25.6%,11.6%,93.2%,284,124,43.7%,284,158,55.6%,93,91.4%,99,91.9%
09X328,New Millennium Bronx Academy of the Arts,X,09,Junior High-Intermediate-Middle,,Y,126,0,126,0,0.0%,35.7%,60.3%,0.0%,0.8%,3.2%,0.0%,34.1%,11.1%,Above 95%,115,45,39.1%,119,37,31.1%,,,,
09X329,DreamYard Preparatory School,X,09,High school,,Y,290,0,0,290,0.7%,27.6%,68.3%,0.0%,0.7%,2.4%,0.3%,27.9%,15.9%,Above 95%,,,0.0%,,,,62,85.5%,56,91.1%
09X339,I.S. 339,X,09,Junior High-Intermediate-Middle,,Y,172,0,172,0,0.0%,19.8%,79.7%,0.6%,0.0%,0.0%,0.0%,23.3%,29.7%,93.6%,162,46,28.4%,184,94,51.1%,,,,
09X350,New Directions Secondary School,X,09,Transfer High school,,Y,135,0,0,135,0.0%,28.9%,66.7%,0.0%,0.7%,3.7%,0.0%,24.4%,39.3%,Above 95%,,,0.0%,,,,69,44.9%,59,55.9%
09X365,Academy for Language and Technology,X,09,High school,,Y,354,0,0,354,0.0%,0.0%,99.7%,0.3%,0.0%,0.0%,0.0%,7.3%,71.2%,Above 95%,,,0.0%,,,,80,97.5%,85,98.8%
09X403,Bronx International High School,X,09,High school,,Y,431,0,0,431,1.6%,26.5%,68.9%,0.0%,1.9%,0.9%,0.2%,2.1%,87.5%,94.2%,,,0.0%,,,,63,85.7%,102,94.1%
09X412,Bronx High School of Business,X,09,High school,,Y,292,0,0,292,0.7%,30.1%,65.8%,0.0%,1.0%,2.1%,0.3%,25.7%,24.7%,Above 95%,,,0.0%,,,,66,78.8%,70,85.7%
09X413,Bronx High School for Medical Science,X,09,Secondary School,,Y,388,0,129,259,3.6%,19.1%,74.7%,0.0%,0.8%,1.0%,0.8%,27.8%,13.7%,93.3%,108,40,37.0%,65,10,15.4%,68,86.8%,56,96.4%
09X443,The Family School,X,09,Elementary,,Y,402,402,0,0,3.5%,26.9%,65.4%,0.7%,0.5%,3.0%,0.0%,30.8%,27.4%,Above 95%,158,90,57.0%,159,105,66.0%,,,,
09X449,Grant Avenue Elementary School,X,09,Elementary,,Y,355,355,0,0,1.7%,21.7%,69.3%,1.4%,2.0%,3.9%,0.0%,35.8%,29.9%,Above 95%,144,64,44.4%,149,61,40.9%,,,,
09X454,Science and Technology Academy: A Mott Hall School,X,09,Junior High-Intermediate-Middle,,Y,346,0,346,0,3.8%,25.1%,67.9%,0.6%,0.9%,1.7%,0.0%,30.9%,18.8%,94.8%,312,157,50.3%,309,212,68.6%,,,,
09X457,Sheridan Academy for Young Leaders,X,09,Elementary,,Y,418,418,0,0,4.1%,22.7%,71.1%,1.4%,0.5%,0.2%,0.0%,24.4%,26.1%,Above 95%,157,51,32.5%,158,67,42.4%,,,,
09X517,Frederick Douglass Academy III Secondary School,X,09,High school,,Y,229,0,0,229,0.0%,42.4%,55.0%,0.9%,1.3%,0.4%,0.0%,34.1%,16.6%,Above 95%,,,0.0%,,,,63,87.3%,68,88.2%
09X543,High School for Violin and Dance,X,09,High school,,Y,111,0,0,111,0.9%,25.2%,70.3%,0.9%,0.9%,1.8%,0.0%,31.5%,21.6%,Above 95%,,,0.0%,,,,31,83.9%,51,82.4%
09X555,Mount Eden Children's Academy,X,09,Elementary,,Y,396,396,0,0,0.3%,18.9%,79.3%,0.8%,0.3%,0.5%,0.0%,18.9%,21.5%,Above 95%,179,102,57.0%,179,109,60.9%,,,,
09X564,Claremont International HS,X,09,High school,,Y,395,0,0,395,0.8%,23.0%,73.4%,0.0%,1.5%,0.8%,0.5%,5.8%,83.0%,Above 95%,,,0.0%,,,,79,82.3%,102,95.1%
09X568,Young Women's Leadership School of the Bronx,X,09,Secondary School,,Y,501,0,192,309,3.6%,25.9%,67.1%,0.2%,1.0%,1.8%,0.4%,18.4%,8.8%,92.6%,183,92,50.3%,112,43,38.4%,68,97.1%,61,100.0%
09X593,South Bronx International Middle School,X,09,Junior High-Intermediate-Middle,,Y,145,0,145,0,0.0%,9.0%,89.7%,0.0%,0.0%,1.4%,0.0%,20.0%,65.5%,Above 95%,122,34,27.9%,140,69,49.3%,,,,
09X594,New Pathways Academy,X,09,Junior High-Intermediate-Middle,,Y,143,0,143,0,0.0%,36.4%,60.8%,0.0%,0.0%,1.4%,1.4%,30.8%,32.2%,Above 95%,123,48,39.0%,128,42,32.8%,,,,
10X015,P.S. X015 Institute for Environmental Learning,X,10,K-8,,Y,377,198,179,0,0.5%,8.2%,90.2%,0.0%,1.1%,0.0%,0.0%,28.4%,17.2%,88.1%,249,123,49.4%,245,146,59.6%,,,,
10X020,"PS/MS 20 P.O.George J. Werdann, III",X,10,K-8,,Y,801,433,368,0,7.0%,11.6%,75.5%,0.6%,1.2%,4.0%,0.0%,26.0%,27.2%,94.6%,537,211,39.3%,563,215,38.2%,,,,
10X045,Thomas C. Giordano Middle School 45,X,10,Junior High-Intermediate-Middle,,Y,447,0,447,0,1.8%,14.8%,80.3%,0.7%,1.1%,1.3%,0.0%,28.4%,22.8%,Above 95%,404,132,32.7%,414,87,21.0%,,,,
10X046,P.S. 046 Edgar Allan Poe,X,10,Elementary,,Y,624,624,0,0,1.8%,15.1%,79.8%,0.6%,1.0%,1.8%,0.0%,26.8%,35.6%,94.1%,281,117,41.6%,297,109,36.7%,,,,
10X077,Bedford Park Elementary School,X,10,Elementary,,Y,437,437,0,0,17.6%,4.8%,68.6%,0.5%,1.6%,6.9%,0.0%,22.0%,33.2%,88.3%,189,72,38.1%,192,68,35.4%,,,,
10X080,J.H.S. 080 The Mosholu Parkway,X,10,Junior High-Intermediate-Middle,,Y,570,0,570,0,5.4%,11.8%,79.1%,0.0%,0.9%,2.8%,0.0%,22.1%,34.0%,94.9%,535,202,37.8%,565,206,36.5%,,,,
10X095,P.S. 095 Sheila Mencher,X,10,K-8,,Y,856,490,366,0,4.9%,15.5%,75.1%,0.9%,0.7%,2.6%,0.2%,23.4%,24.4%,93.9%,587,233,39.7%,545,210,38.5%,,,,
10X213,Bronx Engineering and Technology Academy,X,10,High school,,Y,341,0,0,341,5.0%,25.5%,64.5%,0.0%,1.2%,3.2%,0.6%,35.5%,12.0%,Above 95%,,,0.0%,,,,85,90.6%,83,89.2%
10X225,Theatre Arts Production Company School,X,10,Secondary School,,Y,428,0,88,340,0.5%,24.8%,71.0%,0.2%,0.5%,0.9%,2.1%,28.0%,7.2%,Above 95%,79,35,44.3%,51,32,62.7%,84,82.1%,66,87.9%
10X237,"The Marie Curie High School for Medicine, Nursing, and Health Professions",X,10,High school,,Y,266,0,0,266,0.4%,26.3%,68.8%,0.8%,0.8%,3.0%,0.0%,27.4%,16.9%,94.4%,,,0.0%,,,,63,84.1%,66,74.2%
10X243,West Bronx Academy for the Future,X,10,Secondary School,,Y,573,0,225,348,0.7%,15.4%,82.2%,0.3%,0.2%,1.0%,0.2%,27.1%,18.3%,94.8%,215,71,33.0%,192,16,8.3%,98,85.7%,82,95.1%
10X244,The New School for Leadership and Journalism,X,10,Junior High-Intermediate-Middle,,Y,563,0,563,0,2.0%,7.1%,87.6%,0.7%,0.2%,2.5%,0.0%,25.6%,24.9%,Above 95%,515,262,50.9%,422,179,42.4%,,,,
10X264,Bronx Academy for Software Engineering (BASE),X,10,High school,,Y,371,0,0,371,3.2%,24.8%,66.3%,0.8%,0.8%,3.2%,0.8%,29.6%,7.3%,90.3%,,,0.0%,,,,94,87.2%,88,94.3%
10X268,Kingsbridge International High School,X,10,High school,,Y,206,0,0,206,1.9%,3.4%,91.3%,0.0%,1.0%,2.4%,0.0%,1.5%,91.7%,Above 95%,,,0.0%,,,,63,55.6%,84,69.0%
10X280,P.S./M.S. 280 Mosholu Parkway,X,10,K-8,,Y,674,408,266,0,9.1%,9.3%,77.4%,0.6%,0.4%,3.1%,0.0%,27.7%,22.8%,94.7%,476,213,44.7%,489,218,44.6%,,,,
10X284,Bronx School of Law and Finance,X,10,High school,,Y,332,0,0,332,2.4%,22.0%,72.3%,0.3%,0.3%,2.1%,0.6%,16.9%,16.3%,93.4%,,,0.0%,,,,75,84.0%,84,85.7%
10X291,P.S. 291,X,10,Elementary,,Y,313,313,0,0,0.0%,6.7%,90.7%,0.3%,0.3%,1.9%,0.0%,30.0%,24.3%,Above 95%,173,87,50.3%,175,96,54.9%,,,,
10X306,P.S. 306,X,10,Elementary,,Y,382,382,0,0,0.0%,26.2%,71.7%,0.3%,0.5%,1.3%,0.0%,18.3%,21.2%,Above 95%,203,79,38.9%,214,80,37.4%,,,,
10X331,The Bronx School of Young Leaders,X,10,Junior High-Intermediate-Middle,,Y,349,0,349,0,0.6%,18.9%,79.1%,0.6%,0.3%,0.6%,0.0%,22.9%,14.0%,92.0%,330,114,34.5%,336,135,40.2%,,,,
10X342,International School for Liberal Arts,X,10,Secondary School,,Y,493,0,125,368,0.0%,0.0%,99.8%,0.0%,0.0%,0.2%,0.0%,7.7%,61.3%,Above 95%,108,25,23.1%,112,42,37.5%,91,92.3%,89,79.8%
10X344,Ampark Neighborhood,X,10,Elementary,,Y,305,305,0,0,4.3%,12.1%,63.0%,6.9%,1.3%,12.5%,0.0%,29.2%,3.9%,65.9%,131,83,63.4%,129,98,76.0%,,,,
10X351,Bronx Collaborative High School,X,10,High school,,Y,435,0,0,435,2.8%,13.3%,72.0%,0.0%,1.4%,2.1%,8.5%,29.0%,22.3%,91.0%,,,0.0%,,,,84,85.7%,150,84.0%
10X353,World View High School,X,10,High school,,Y,627,0,0,627,3.5%,15.6%,76.1%,0.3%,0.6%,1.8%,2.1%,16.1%,24.4%,86.6%,,,0.0%,,,,125,92.8%,136,97.8%
10X368,In-Tech Academy (M.S. / High School 368),X,10,Secondary School,,Y,958,0,422,536,2.1%,7.2%,86.5%,0.4%,0.8%,2.8%,0.1%,23.1%,12.2%,89.8%,358,188,52.5%,304,132,43.4%,133,90.2%,133,93.2%
10X374,Knowledge and Power Preparatory Academy International High School (Kappa),X,10,High school,,Y,458,0,0,458,2.2%,22.1%,69.2%,0.7%,1.1%,4.8%,0.0%,24.0%,12.0%,93.4%,,,0.0%,,,,83,96.4%,98,100.0%
10X386,School for Environmental Citizenship,X,10,Elementary,,Y,567,567,0,0,1.4%,14.5%,81.8%,0.5%,0.5%,1.2%,0.0%,21.5%,20.3%,Above 95%,253,114,45.1%,263,112,42.6%,,,,
10X390,M.S. 390,X,10,Junior High-Intermediate-Middle,,Y,320,0,320,0,0.3%,17.5%,80.3%,0.6%,0.3%,0.9%,0.0%,28.4%,27.8%,Above 95%,282,112,39.7%,266,86,32.3%,,,,
10X391,The Angelo Patri Middle School,X,10,Junior High-Intermediate-Middle,,Y,340,0,340,0,0.3%,20.9%,77.1%,0.0%,0.9%,0.9%,0.0%,25.3%,39.7%,Above 95%,310,83,26.8%,327,103,31.5%,,,,
10X396,P.S. 396,X,10,Elementary,,Y,216,216,0,0,1.9%,19.0%,76.9%,0.5%,0.9%,0.9%,0.0%,37.5%,27.8%,93.1%,92,45,48.9%,96,43,44.8%,,,,
10X397,English Language Learners and International Support Preparatory Academy (ELLIS),X,10,Transfer High school,,Y,276,0,0,276,0.7%,27.9%,69.2%,0.0%,1.4%,0.7%,0.0%,1.4%,88.0%,Above 95%,,,0.0%,,,,65,55.4%,101,51.5%
10X433,High School for Teaching and the Professions,X,10,High school,,Y,327,0,0,327,2.1%,15.0%,81.0%,0.3%,0.3%,0.9%,0.3%,29.4%,24.5%,Above 95%,,,0.0%,,,,88,93.2%,88,80.7%
10X434,Belmont Preparatory High School,X,10,High school,,Y,329,0,0,329,0.9%,22.2%,73.3%,0.6%,1.2%,1.8%,0.0%,22.2%,15.8%,92.7%,,,0.0%,,,,89,97.8%,94,97.9%
10X437,Fordham High School for the Arts,X,10,High school,,Y,351,0,0,351,3.7%,27.4%,65.8%,0.6%,1.1%,1.1%,0.3%,17.7%,2.0%,87.7%,,,0.0%,,,,96,99.0%,71,100.0%
10X438,Fordham Leadership Academy,X,10,High school,,Y,365,0,0,365,1.1%,23.8%,69.9%,0.0%,1.9%,3.0%,0.3%,22.5%,9.0%,94.0%,,,0.0%,,,,97,99.0%,88,100.0%
10X439,Bronx High School for Law and Community Service,X,10,High school,,Y,360,0,0,360,2.8%,18.3%,73.9%,0.3%,1.1%,3.6%,0.0%,25.0%,8.3%,88.6%,,,0.0%,,,,86,94.2%,94,98.9%
10X440,DeWitt Clinton High School,X,10,High school,,Y,1219,0,0,1219,6.8%,26.1%,61.1%,0.5%,1.9%,2.9%,0.7%,21.2%,9.0%,87.7%,,,0.0%,,,,239,93.3%,231,94.8%
10X442,"Celia Cruz Bronx High School of Music, The",X,10,High school,,Y,407,0,0,407,2.5%,26.8%,67.3%,1.5%,0.0%,1.0%,1.0%,19.2%,2.7%,85.0%,,,0.0%,,,,98,98.0%,99,100.0%
10X447,Creston Academy,X,10,Junior High-Intermediate-Middle,,Y,419,0,419,0,0.5%,12.6%,86.2%,0.0%,0.5%,0.2%,0.0%,19.8%,26.0%,Above 95%,401,157,39.2%,417,167,40.0%,,,,
10X477,Marble Hill High School for International Studies,X,10,High school,,Y,399,0,0,399,7.5%,11.5%,76.2%,0.3%,0.5%,3.8%,0.3%,17.8%,30.6%,92.7%,,,0.0%,,,,94,90.4%,114,98.2%
10X524,Crotona International High School,X,10,High school,,Y,357,0,0,357,0.8%,9.2%,88.5%,0.0%,0.3%,1.1%,0.0%,2.8%,95.5%,Above 95%,,,0.0%,,,,67,80.6%,88,95.5%
10X546,Bronx Theatre High School,X,10,High school,,Y,219,0,0,219,0.0%,27.9%,67.6%,0.0%,0.9%,2.3%,1.4%,32.9%,11.0%,92.2%,,,0.0%,,,,64,90.6%,73,94.5%
10X549,Discovery High School,X,10,High school,,Y,383,0,0,383,2.3%,14.9%,79.4%,0.0%,0.5%,2.6%,0.3%,25.8%,22.5%,91.4%,,,0.0%,,,,98,93.9%,92,94.6%
10X565,High School for Energy and Technology,X,10,High school,,Y,325,0,0,325,1.8%,26.8%,67.7%,0.6%,0.9%,1.8%,0.3%,24.9%,12.6%,92.0%,,,0.0%,,,,77,90.9%,102,93.1%
11X111,P.S. 111 Seton Falls,X,11,Elementary,,Y,397,397,0,0,1.8%,53.7%,42.1%,0.5%,0.5%,1.5%,0.0%,25.7%,2.8%,94.2%,156,63,40.4%,153,63,41.2%,,,,
11X127,J.H.S. 127 The Castle Hill,X,11,Junior High-Intermediate-Middle,,Y,781,0,781,0,32.8%,21.1%,41.7%,0.3%,1.8%,2.2%,0.1%,20.1%,17.9%,84.1%,769,361,46.9%,706,293,41.5%,,,,
11X144,J.H.S. 144 Michelangelo,X,11,Junior High-Intermediate-Middle,,Y,390,0,390,0,6.9%,43.6%,43.8%,0.8%,0.3%,4.6%,0.0%,24.4%,11.3%,89.0%,349,163,46.7%,230,90,39.1%,,,,
11X153,P.S. 153 Helen Keller,X,11,Elementary,,Y,444,444,0,0,7.7%,61.0%,26.4%,2.0%,1.4%,1.6%,0.0%,20.9%,2.9%,72.3%,180,130,72.2%,184,137,74.5%,,,,
11X160,P.S. 160 Walt Disney,X,11,Elementary,,Y,282,282,0,0,3.2%,62.1%,31.2%,0.4%,0.7%,2.5%,0.0%,20.9%,5.3%,77.3%,127,75,59.1%,127,69,54.3%,,,,
11X178,P.S. 178 - Dr. Selman Waksman,X,11,Elementary,,Y,338,338,0,0,5.3%,57.4%,31.1%,0.6%,1.2%,4.1%,0.3%,30.2%,7.4%,74.9%,137,76,55.5%,135,85,63.0%,,,,
11X181,I.S. 181 Pablo Casals,X,11,Junior High-Intermediate-Middle,,Y,489,0,489,0,10.2%,52.1%,31.3%,1.8%,1.4%,3.1%,0.0%,23.9%,5.3%,79.6%,427,281,65.8%,277,188,67.9%,,,,
11X189,Cornerstone Academy for Social Action,X,11,Elementary,,Y,263,263,0,0,4.2%,39.5%,52.9%,0.8%,1.1%,1.5%,0.0%,26.6%,14.8%,Above 95%,105,27,25.7%,104,34,32.7%,,,,
11X194,P.S./M.S. 194,X,11,K-8,,Y,1190,724,466,0,33.4%,6.4%,53.1%,0.9%,1.5%,4.5%,0.2%,20.0%,21.1%,92.4%,766,357,46.6%,766,389,50.8%,,,,
11X249,Bronx Health Sciences High School,X,11,High school,,Y,338,0,0,338,5.3%,56.5%,32.8%,1.2%,2.1%,1.2%,0.9%,17.5%,3.6%,84.0%,,,0.0%,,,,89,97.8%,64,98.4%
11X265,Bronx Lab School,X,11,High school,,Y,262,0,0,262,5.3%,40.5%,50.8%,0.0%,1.9%,1.5%,0.0%,25.2%,20.6%,92.4%,,,0.0%,,,,49,85.7%,78,79.5%
11X270,Academy for Scholarship and Entrepreneurship: A College Board School,X,11,High school,,Y,437,0,0,437,1.8%,64.5%,29.7%,0.2%,2.7%,0.9%,0.0%,22.2%,4.1%,89.5%,,,0.0%,,,,87,81.6%,91,89.0%
11X275,High School of Computers and Technology,X,11,High school,,Y,472,0,0,472,3.4%,38.6%,50.4%,0.8%,0.8%,5.5%,0.4%,30.3%,11.0%,85.8%,,,0.0%,,,,75,85.3%,128,89.1%
11X287,North Bronx School of Empowerment,X,11,Junior High-Intermediate-Middle,,Y,321,0,321,0,2.2%,41.1%,49.2%,0.0%,5.0%,2.5%,0.0%,26.5%,21.2%,91.9%,303,111,36.6%,292,71,24.3%,,,,
11X288,Collegiate Institute for Math and Science,X,11,High school,,Y,562,0,0,562,15.7%,25.4%,37.5%,0.5%,1.4%,16.5%,2.8%,15.8%,5.9%,84.7%,,,0.0%,,,,135,93.3%,141,94.3%
11X290,Bronx Academy of Health Careers,X,11,High school,,Y,306,0,0,306,3.9%,42.2%,47.4%,0.7%,2.0%,3.3%,0.7%,19.9%,15.4%,87.6%,,,0.0%,,,,80,81.3%,77,90.9%
11X299,Astor Collegiate Academy,X,11,High school,,Y,424,0,0,424,12.0%,28.3%,45.8%,0.7%,1.7%,11.3%,0.2%,21.9%,10.4%,84.0%,,,0.0%,,,,84,90.5%,98,95.9%
11X326,Bronx Green Middle School,X,11,Junior High-Intermediate-Middle,,Y,360,0,360,0,8.9%,18.3%,64.4%,0.3%,0.8%,7.2%,0.0%,19.7%,22.8%,92.2%,291,123,42.3%,189,79,41.8%,,,,
11X355,Bronx Alliance Middle School,X,11,Junior High-Intermediate-Middle,,Y,187,0,187,0,3.2%,61.0%,34.2%,0.0%,0.0%,1.6%,0.0%,30.5%,6.4%,87.7%,186,61,32.8%,126,34,27.0%,,,,
11X370,Leaders of Tomorrow,X,11,Junior High-Intermediate-Middle,,Y,388,0,388,0,2.6%,41.8%,52.6%,0.8%,0.5%,1.8%,0.0%,24.2%,18.6%,90.7%,371,131,35.3%,238,53,22.3%,,,,
11X418,Bronx High School for the Visual Arts,X,11,High school,,Y,406,0,0,406,4.2%,21.9%,57.6%,0.5%,0.5%,15.3%,0.0%,26.8%,8.6%,89.7%,,,0.0%,,,,94,83.0%,123,83.7%
11X455,Harry S Truman High School,X,11,High school,,Y,1649,0,0,1649,3.5%,47.4%,43.6%,0.5%,1.5%,3.3%,0.2%,27.3%,8.9%,80.3%,,,0.0%,,,,466,79.4%,535,89.3%
11X462,Cornerstone Academy for Social Action Middle School (CASA),X,11,Junior High-Intermediate-Middle,,Y,168,0,168,0,1.8%,50.6%,45.2%,0.0%,0.0%,2.4%,0.0%,23.8%,8.9%,91.7%,148,45,30.4%,94,20,21.3%,,,,
11X468,Pelham Academy of Academics and Community Engagement,X,11,Junior High-Intermediate-Middle,,Y,281,0,281,0,7.5%,13.9%,64.1%,0.4%,0.7%,13.5%,0.0%,22.1%,14.2%,94.3%,232,119,51.3%,151,90,59.6%,,,,
11X498,P.S./M.S. 11X498 - Van Nest Academy,X,11,K-8,,Y,602,331,271,0,11.1%,7.6%,62.1%,2.0%,0.5%,16.6%,0.0%,22.4%,13.1%,84.1%,423,221,52.2%,421,257,61.0%,,,,
11X508,Bronxdale High School,X,11,High school,,Y,388,0,0,388,4.6%,27.8%,59.8%,0.3%,0.8%,6.7%,0.0%,24.5%,8.0%,87.1%,,,0.0%,,,,91,75.8%,99,91.9%
11X509,High School of Language and Innovation,X,11,High school,,Y,373,0,0,373,4.6%,10.7%,71.6%,0.8%,0.8%,10.5%,1.1%,4.0%,81.0%,90.1%,,,0.0%,,,,88,92.0%,96,92.7%
11X513,New World High School,X,11,High school,,Y,286,0,0,286,4.2%,17.1%,71.7%,0.0%,1.4%,5.6%,0.0%,6.3%,60.1%,90.2%,,,0.0%,,,,78,93.6%,82,92.7%
11X514,The Bronxwood Preparatory Academy,X,11,High school,,Y,410,0,0,410,2.2%,57.3%,36.6%,0.7%,1.0%,2.0%,0.2%,26.6%,6.3%,86.6%,,,0.0%,,,,89,95.5%,75,85.3%
11X529,One World Middle School at Edenwald,X,11,Junior High-Intermediate-Middle,,Y,310,0,310,0,2.9%,54.8%,37.4%,1.0%,3.2%,0.6%,0.0%,23.5%,5.2%,77.7%,306,159,52.0%,202,79,39.1%,,,,
11X532,Baychester Middle School,X,11,Junior High-Intermediate-Middle,,Y,300,0,300,0,2.0%,54.7%,35.7%,0.7%,4.0%,3.0%,0.0%,26.7%,7.3%,92.0%,282,115,40.8%,247,75,30.4%,,,,
11X542,Pelham Preparatory Academy,X,11,High school,,Y,449,0,0,449,5.8%,36.3%,47.7%,0.2%,1.1%,8.9%,0.0%,23.6%,5.8%,81.7%,,,0.0%,,,,112,91.1%,129,94.6%
11X544,High School for Contemporary Arts,X,11,High school,,Y,295,0,0,295,2.0%,43.4%,48.1%,2.4%,1.7%,2.4%,0.0%,31.2%,12.5%,94.2%,,,0.0%,,,,55,87.3%,68,85.3%
11X545,Bronx Aerospace High School,X,11,High school,,Y,370,0,0,370,2.2%,38.4%,51.9%,1.1%,2.4%,3.0%,1.1%,24.9%,17.6%,87.8%,,,0.0%,,,,40,87.5%,43,90.7%
11X556,Bronx Park Middle School,X,11,Junior High-Intermediate-Middle,,Y,304,0,304,0,6.9%,15.1%,68.4%,1.0%,1.0%,7.6%,0.0%,22.7%,19.4%,88.2%,242,128,52.9%,232,123,53.0%,,,,
11X566,Pelham Gardens Middle School,X,11,Junior High-Intermediate-Middle,,Y,287,0,287,0,7.0%,46.0%,41.5%,0.0%,0.3%,4.9%,0.3%,27.9%,11.5%,80.1%,280,127,45.4%,195,60,30.8%,,,,
11X567,Linden Tree Elementary School,X,11,Elementary,,Y,313,313,0,0,25.6%,13.7%,55.0%,0.3%,1.3%,3.8%,0.3%,22.4%,36.1%,92.0%,125,53,42.4%,134,64,47.8%,,,,
12X006,P.S. 006 West Farms,X,12,Elementary,,Y,433,433,0,0,0.2%,25.4%,71.4%,0.7%,0.7%,1.6%,0.0%,26.1%,18.0%,Above 95%,188,65,34.6%,191,59,30.9%,,,,
